,0,1,2,3,4
104,0.02020202,0.50282806,0.40864292,0.47991064,0.17350654
105,0.02020202,0.4887188,0.47864366,0.49551314,0.88630134
106,0.02020202,0.48670992,0.49631768,0.51454973,0.9227693
107,0.02020202,0.49052453,0.55293053,0.50794756,0.55381864
108,0.02020202,0.5007476,0.4138303,0.563241,0.101770036
109,0.02020202,0.5659181,0.48214084,0.45214206,0.24885014
110,0.02020202,0.49934027,0.49071142,0.55807275,0.50065863
111,0.02020202,0.5749264,0.32007688,0.5288265,0.00042498714
112,0.02020202,0.46762705,0.5506894,0.52033055,0.44657367
113,0.02020202,0.6081529,0.5648069,0.4612966,0.030838622
114,0.02020202,0.5157425,0.53381026,0.44730178,0.434477
115,0.02020202,0.45450896,0.481683,0.52268445,0.55771554
116,0.02020202,0.5086162,0.46707606,0.5470951,0.5090365
117,0.02020202,0.50749356,0.40751523,0.47635707,0.15981881
118,0.02020202,0.5520089,0.54838294,0.47936046,0.3347519
119,0.02020202,0.48154393,0.51771456,0.46092236,0.64642453
120,0.02020202,0.56208515,0.5214405,0.4929264,0.41775498
121,0.02020202,0.44407856,0.4799773,0.47251058,0.42453673
122,0.02020202,0.4607411,0.48221663,0.52620447,0.60119444
123,0.02020202,0.53946257,0.5225322,0.50147974,0.66137344
124,0.02020202,0.49249336,0.42939612,0.4927217,0.36101115
125,0.02020202,0.4534296,0.46162534,0.45602548,0.3279038
126,0.02020202,0.5291885,0.46054518,0.48516256,0.59110564
127,0.02020202,0.4724755,0.38896286,0.46140537,0.05418895
128,0.02020202,0.47878632,0.47013706,0.5394918,0.55973977
129,0.02020202,0.49308607,0.5277715,0.45858333,0.6023723
130,0.02020202,0.5869117,0.59818274,0.5259185,0.02807005
131,0.02020202,0.5089518,0.5624377,0.4753803,0.39973804
132,0.02020202,0.43623006,0.5786129,0.48453024,0.12280185
133,0.02020202,0.5475279,0.39953572,0.52069384,0.077611335
134,0.02020202,0.50707805,0.4753326,0.46526787,0.6886788
135,0.02020202,0.46851864,0.5153717,0.47087196,0.66023356
136,0.02020202,0.48218673,0.5135067,0.47163457,0.7703825
137,0.02020202,0.5550024,0.5999557,0.5854795,0.017169366
